market_date,market_start_time,market_end_time,market_start_datetime,market_end_datetime
2019-05-25,"8:00 AM","2:00 PM","2019-05-25 08:00:00","2019-05-25 14:00:00"
2019-05-29,"4:00 PM","7:00 PM","2019-05-29 16:00:00","2019-05-29 19:00:00"
2019-06-01,"8:00 AM","2:00 PM","2019-06-01 08:00:00","2019-06-01 14:00:00"
2019-06-05,"4:00 PM","7:00 PM","2019-06-05 16:00:00","2019-06-05 19:00:00"
2019-06-08,"8:00 AM","2:00 PM","2019-06-08 08:00:00","2019-06-08 14:00:00"
2019-06-12,"4:00 PM","7:00 PM","2019-06-12 16:00:00","2019-06-12 19:00:00"
2019-06-15,"8:00 AM","2:00 PM","2019-06-15 08:00:00","2019-06-15 14:00:00"
2019-06-19,"4:00 PM","7:00 PM","2019-06-19 16:00:00","2019-06-19 19:00:00"
2019-06-22,"8:00 AM","2:00 PM","2019-06-22 08:00:00","2019-06-22 14:00:00"
2019-06-26,"4:00 PM","7:00 PM","2019-06-26 16:00:00","2019-06-26 19:00:00"
2019-06-29,"8:00 AM","2:00 PM","2019-06-29 08:00:00","2019-06-29 14:00:00"
2019-07-03,"4:00 PM","7:00 PM","2019-07-03 16:00:00","2019-07-03 19:00:00"
2019-07-06,"8:00 AM","2:00 PM","2019-07-06 08:00:00","2019-07-06 14:00:00"
2019-07-10,"4:00 PM","7:00 PM","2019-07-10 16:00:00","2019-07-10 19:00:00"
2019-07-13,"8:00 AM","2:00 PM","2019-07-13 08:00:00","2019-07-13 14:00:00"
2019-07-17,"4:00 PM","7:00 PM","2019-07-17 16:00:00","2019-07-17 19:00:00"
2019-07-20,"8:00 AM","2:00 PM","2019-07-20 08:00:00","2019-07-20 14:00:00"
2019-07-24,"4:00 PM","7:00 PM","2019-07-24 16:00:00","2019-07-24 19:00:00"
2019-07-27,"8:00 AM","2:00 PM","2019-07-27 08:00:00","2019-07-27 14:00:00"
2019-07-31,"4:00 PM","7:00 PM","2019-07-31 16:00:00","2019-07-31 19:00:00"
2019-08-03,"8:00 AM","2:00 PM","2019-08-03 08:00:00","2019-08-03 14:00:00"
2019-08-07,"4:00 PM","7:00 PM","2019-08-07 16:00:00","2019-08-07 19:00:00"
2019-08-10,"8:00 AM","2:00 PM","2019-08-10 08:00:00","2019-08-10 14:00:00"
2019-08-14,"4:00 PM","7:00 PM","2019-08-14 16:00:00","2019-08-14 19:00:00"
2019-08-17,"8:00 AM","2:00 PM","2019-08-17 08:00:00","2019-08-17 14:00:00"
2019-08-21,"4:00 PM","7:00 PM","2019-08-21 16:00:00","2019-08-21 19:00:00"
2019-08-24,"8:00 AM","2:00 PM","2019-08-24 08:00:00","2019-08-24 14:00:00"
2019-08-28,"4:00 PM","7:00 PM","2019-08-28 16:00:00","2019-08-28 19:00:00"
2019-08-31,"8:00 AM","2:00 PM","2019-08-31 08:00:00","2019-08-31 14:00:00"
2019-09-04,"4:00 PM","7:00 PM","2019-09-04 16:00:00","2019-09-04 19:00:00"
2019-09-07,"8:00 AM","2:00 PM","2019-09-07 08:00:00","2019-09-07 14:00:00"
2019-09-11,"4:00 PM","7:00 PM","2019-09-11 16:00:00","2019-09-11 19:00:00"
2019-09-14,"8:00 AM","2:00 PM","2019-09-14 08:00:00","2019-09-14 14:00:00"
2019-09-18,"4:00 PM","7:00 PM","2019-09-18 16:00:00","2019-09-18 19:00:00"
2019-09-21,"8:00 AM","2:00 PM","2019-09-21 08:00:00","2019-09-21 14:00:00"
2019-09-25,"4:00 PM","7:00 PM","2019-09-25 16:00:00","2019-09-25 19:00:00"
2019-09-28,"8:00 AM","2:00 PM","2019-09-28 08:00:00","2019-09-28 14:00:00"
2019-10-02,"4:00 PM","7:00 PM","2019-10-02 16:00:00","2019-10-02 19:00:00"
2019-10-05,"8:00 AM","2:00 PM","2019-10-05 08:00:00","2019-10-05 14:00:00"
2019-10-09,"4:00 PM","7:00 PM","2019-10-09 16:00:00","2019-10-09 19:00:00"
2019-10-12,"8:00 AM","2:00 PM","2019-10-12 08:00:00","2019-10-12 14:00:00"
2019-10-16,"4:00 PM","7:00 PM","2019-10-16 16:00:00","2019-10-16 19:00:00"
2019-10-19,"8:00 AM","2:00 PM","2019-10-19 08:00:00","2019-10-19 14:00:00"
2019-10-23,"4:00 PM","7:00 PM","2019-10-23 16:00:00","2019-10-23 19:00:00"
2019-10-26,"8:00 AM","2:00 PM","2019-10-26 08:00:00","2019-10-26 14:00:00"
2019-10-30,"4:00 PM","7:00 PM","2019-10-30 16:00:00","2019-10-30 19:00:00"
2019-11-02,"8:00 AM","2:00 PM","2019-11-02 08:00:00","2019-11-02 14:00:00"
2019-11-06,"4:00 PM","7:00 PM","2019-11-06 16:00:00","2019-11-06 19:00:00"
2019-11-09,"8:00 AM","2:00 PM","2019-11-09 08:00:00","2019-11-09 14:00:00"
2019-11-13,"4:00 PM","7:00 PM","2019-11-13 16:00:00","2019-11-13 19:00:00"
2019-11-16,"8:00 AM","2:00 PM","2019-11-16 08:00:00","2019-11-16 14:00:00"
2019-11-20,"4:00 PM","7:00 PM","2019-11-20 16:00:00","2019-11-20 19:00:00"
2019-11-23,"8:00 AM","2:00 PM","2019-11-23 08:00:00","2019-11-23 14:00:00"
2019-11-27,"4:00 PM","7:00 PM","2019-11-27 16:00:00","2019-11-27 19:00:00"
2019-11-30,"8:00 AM","2:00 PM","2019-11-30 08:00:00","2019-11-30 14:00:00"
2019-12-04,"4:00 PM","7:00 PM","2019-12-04 16:00:00","2019-12-04 19:00:00"
2019-12-07,"8:00 AM","2:00 PM","2019-12-07 08:00:00","2019-12-07 14:00:00"
2019-12-11,"4:00 PM","7:00 PM","2019-12-11 16:00:00","2019-12-11 19:00:00"
2019-12-14,"8:00 AM","2:00 PM","2019-12-14 08:00:00","2019-12-14 14:00:00"
2019-12-18,"4:00 PM","7:00 PM","2019-12-18 16:00:00","2019-12-18 19:00:00"
2019-12-21,"8:00 AM","2:00 PM","2019-12-21 08:00:00","2019-12-21 14:00:00"
2019-12-25,"4:00 PM","7:00 PM","2019-12-25 16:00:00","2019-12-25 19:00:00"
2019-12-28,"8:00 AM","2:00 PM","2019-12-28 08:00:00","2019-12-28 14:00:00"
2020-03-04,"4:00 PM","7:00 PM","2020-03-04 16:00:00","2020-03-04 19:00:00"
2020-03-07,"8:00 AM","2:00 PM","2020-03-07 08:00:00","2020-03-07 14:00:00"
2020-03-11,"4:00 PM","7:00 PM","2020-03-11 16:00:00","2020-03-11 19:00:00"
2020-03-14,"8:00 AM","2:00 PM","2020-03-14 08:00:00","2020-03-14 14:00:00"
2020-03-18,"4:00 PM","7:00 PM","2020-03-18 16:00:00","2020-03-18 19:00:00"
2020-03-21,"8:00 AM","2:00 PM","2020-03-21 08:00:00","2020-03-21 14:00:00"
2020-03-25,"4:00 PM","7:00 PM","2020-03-25 16:00:00","2020-03-25 19:00:00"
2020-03-28,"8:00 AM","2:00 PM","2020-03-28 08:00:00","2020-03-28 14:00:00"
2020-04-01,"4:00 PM","7:00 PM","2020-04-01 16:00:00","2020-04-01 19:00:00"
2020-04-04,"8:00 AM","2:00 PM","2020-04-04 08:00:00","2020-04-04 14:00:00"
2020-04-08,"4:00 PM","7:00 PM","2020-04-08 16:00:00","2020-04-08 19:00:00"
2020-04-11,"8:00 AM","2:00 PM","2020-04-11 08:00:00","2020-04-11 14:00:00"
2020-04-15,"4:00 PM","7:00 PM","2020-04-15 16:00:00","2020-04-15 19:00:00"
2020-04-18,"8:00 AM","2:00 PM","2020-04-18 08:00:00","2020-04-18 14:00:00"
2020-04-22,"4:00 PM","7:00 PM","2020-04-22 16:00:00","2020-04-22 19:00:00"
2020-04-25,"8:00 AM","2:00 PM","2020-04-25 08:00:00","2020-04-25 14:00:00"
2020-04-29,"4:00 PM","7:00 PM","2020-04-29 16:00:00","2020-04-29 19:00:00"
2020-05-02,"8:00 AM","2:00 PM","2020-05-02 08:00:00","2020-05-02 14:00:00"
2020-05-06,"4:00 PM","7:00 PM","2020-05-06 16:00:00","2020-05-06 19:00:00"
2020-05-09,"8:00 AM","2:00 PM","2020-05-09 08:00:00","2020-05-09 14:00:00"
2020-05-13,"4:00 PM","7:00 PM","2020-05-13 16:00:00","2020-05-13 19:00:00"
2020-05-16,"8:00 AM","2:00 PM","2020-05-16 08:00:00","2020-05-16 14:00:00"
2020-05-20,"4:00 PM","7:00 PM","2020-05-20 16:00:00","2020-05-20 19:00:00"
2020-05-23,"8:00 AM","2:00 PM","2020-05-23 08:00:00","2020-05-23 14:00:00"
2020-05-27,"4:00 PM","7:00 PM","2020-05-27 16:00:00","2020-05-27 19:00:00"
2020-05-30,"8:00 AM","2:00 PM","2020-05-30 08:00:00","2020-05-30 14:00:00"
2020-06-03,"4:00 PM","7:00 PM","2020-06-03 16:00:00","2020-06-03 19:00:00"
2020-06-06,"8:00 AM","2:00 PM","2020-06-06 08:00:00","2020-06-06 14:00:00"
2020-06-10,"4:00 PM","7:00 PM","2020-06-10 16:00:00","2020-06-10 19:00:00"
2020-06-13,"8:00 AM","2:00 PM","2020-06-13 08:00:00","2020-06-13 14:00:00"
2020-06-17,"4:00 PM","7:00 PM","2020-06-17 16:00:00","2020-06-17 19:00:00"
2020-06-20,"8:00 AM","2:00 PM","2020-06-20 08:00:00","2020-06-20 14:00:00"
2020-06-24,"4:00 PM","7:00 PM","2020-06-24 16:00:00","2020-06-24 19:00:00"
2020-06-27,"8:00 AM","2:00 PM","2020-06-27 08:00:00","2020-06-27 14:00:00"
2020-07-01,"4:00 PM","7:00 PM","2020-07-01 16:00:00","2020-07-01 19:00:00"
2020-07-04,"8:00 AM","2:00 PM","2020-07-04 08:00:00","2020-07-04 14:00:00"
2020-07-08,"4:00 PM","7:00 PM","2020-07-08 16:00:00","2020-07-08 19:00:00"
2020-07-11,"8:00 AM","2:00 PM","2020-07-11 08:00:00","2020-07-11 14:00:00"
2020-07-15,"4:00 PM","7:00 PM","2020-07-15 16:00:00","2020-07-15 19:00:00"
2020-07-18,"8:00 AM","2:00 PM","2020-07-18 08:00:00","2020-07-18 14:00:00"
2020-07-22,"4:00 PM","7:00 PM","2020-07-22 16:00:00","2020-07-22 19:00:00"
2020-07-25,"8:00 AM","2:00 PM","2020-07-25 08:00:00","2020-07-25 14:00:00"
2020-07-29,"4:00 PM","7:00 PM","2020-07-29 16:00:00","2020-07-29 19:00:00"
2020-08-01,"8:00 AM","2:00 PM","2020-08-01 08:00:00","2020-08-01 14:00:00"
2020-08-05,"4:00 PM","7:00 PM","2020-08-05 16:00:00","2020-08-05 19:00:00"
2020-08-08,"8:00 AM","2:00 PM","2020-08-08 08:00:00","2020-08-08 14:00:00"
2020-08-12,"4:00 PM","7:00 PM","2020-08-12 16:00:00","2020-08-12 19:00:00"
2020-08-15,"8:00 AM","2:00 PM","2020-08-15 08:00:00","2020-08-15 14:00:00"
2020-08-19,"4:00 PM","7:00 PM","2020-08-19 16:00:00","2020-08-19 19:00:00"
2020-08-22,"8:00 AM","2:00 PM","2020-08-22 08:00:00","2020-08-22 14:00:00"
2020-08-26,"4:00 PM","7:00 PM","2020-08-26 16:00:00","2020-08-26 19:00:00"
2020-08-29,"8:00 AM","2:00 PM","2020-08-29 08:00:00","2020-08-29 14:00:00"
2020-09-02,"4:00 PM","7:00 PM","2020-09-02 16:00:00","2020-09-02 19:00:00"
2020-09-05,"8:00 AM","2:00 PM","2020-09-05 08:00:00","2020-09-05 14:00:00"
2020-09-09,"4:00 PM","7:00 PM","2020-09-09 16:00:00","2020-09-09 19:00:00"
2020-09-12,"8:00 AM","2:00 PM","2020-09-12 08:00:00","2020-09-12 14:00:00"
2020-09-16,"4:00 PM","7:00 PM","2020-09-16 16:00:00","2020-09-16 19:00:00"
2020-09-19,"8:00 AM","2:00 PM","2020-09-19 08:00:00","2020-09-19 14:00:00"
2020-09-23,"4:00 PM","7:00 PM","2020-09-23 16:00:00","2020-09-23 19:00:00"
2020-09-26,"8:00 AM","2:00 PM","2020-09-26 08:00:00","2020-09-26 14:00:00"
2020-09-30,"4:00 PM","7:00 PM","2020-09-30 16:00:00","2020-09-30 19:00:00"
2020-10-03,"8:00 AM","2:00 PM","2020-10-03 08:00:00","2020-10-03 14:00:00"
2020-10-07,"4:00 PM","7:00 PM","2020-10-07 16:00:00","2020-10-07 19:00:00"
2020-10-10,"8:00 AM","2:00 PM","2020-10-10 08:00:00","2020-10-10 14:00:00"
